,受入数
法学部,116.076
経済学部,95.871
A群（思想文化）,20.966
B群（歴史文化_日本史学）,10.935
C群（歴史文化_東洋史学）,14.726
D群（歴史文化_西洋史学）,11
E群（歴史文化_考古学）,3.806
F群（歴史文化_美術史学）,5.739
G群（言語文化）,31.653
H群（心理学）,6
I群（社会心理学）,6
J群（社会学）,15.999
基礎教育学,5.743
比較教育社会学,5
教育実践・政策学,7.868
教育心理学,7
身体教育学,4.296
薬学部,17.411
医学,36
健康総合科学,6.597
超域文化科学,12
地域文化研究,10.963
総合社会科学,10
数理自然科学,2
物質基礎科学,8
統合生命科学,8.881
認知行動科学,2
Ａ 群,5
Ｂ 群,4
教養学科国際日本研究コース,1.203
学際科学科国際環境学コース,1.169
生命化学・工学,13.341
応用生物学,3.771
森林生物科学,1.288
水圏生物科学,5.965
動物生命システム科学,3
生物素材化学,5.899
緑地環境学,2
森林環境資源科学,7.014
木質構造科学,3
生物・環境工学,3.101
農業・資源経済学,13
フィールド科学,2.998
国際開発農学,8
獣医学課程獣医学,5.186
社会基盤学Ａ（設計・技術戦略）,6.912
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,5.951
社会基盤学Ｃ（国際プロジェクト）,2.985
建築学,15
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,6
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,10
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,31
機械工学B,13
航空宇宙学,17.957
精密工学,14
電子情報工学,23.9
電気電子工学,21
応用物理・物理工学,17
計数工学・数理/ｼｽﾃﾑ情報,21
マテリアル工学A,5.117
マテリアル工学B,16.988
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,10
応用化学,18.783
化学システム工学,19
化学生命工学,15.715
システム創成A,7.192
システム創成B,11
システム創成C,14
数学,12.957
情報科学,10
物理学,20.978
天文学,4
地球惑星物理学,10
地球惑星環境学,6
化学,12.995
生物化学,6
生物情報科学,5
生物学,9.982
