,指定科類枠1,指定科類枠1の定員充足率,指定科類枠2,指定科類枠2の定員充足率,指定科類枠3,指定科類枠3の定員充足率
法学部,1,1,23,1,456,1
経済学部,2,1,456,1,,
A群（思想文化）,3,0.777777778,,,,
B群（歴史文化_日本史学）,3,0.428571429,,,,
C群（歴史文化_東洋史学）,3,0,,,,
D群（歴史文化_西洋史学）,3,0.333333333,,,,
E群（歴史文化_考古学）,3,0.025641026,,,,
F群（歴史文化_美術史学）,3,0.071428571,,,,
G群（言語文化）,3,0.5,,,,
H群（心理学）,3,1,,,,
I群（社会心理学）,3,1,,,,
J群（社会学）,3,1,,,,
基礎教育学,3,1,,,,
比較教育社会学,3,1,,,,
教育実践・政策学,3,1,,,,
教育心理学,3,1,456,1,,
身体教育学,,,,,,
薬学部,456,1,,,,
医学,5,1,6,1.0625,,
健康総合科学,456,0.363636364,,,,
超域文化科学,12,1,3,1,,
地域文化研究,12,1,3,1,,
総合社会科学,12,1,3,1,,
数理自然科学,456,1,,,,
物質基礎科学,456,1,,,,
統合生命科学,456,0.875,,,,
認知行動科学,123,1,456,1,,
Ａ 群,123,1,456,1,,
Ｂ 群,123,1,456,1,,
教養学科国際日本研究コース,,,,,,
学際科学科国際環境学コース,,,,,,
生命化学・工学,456,0.46875,,,,
応用生物学,456,0.307692308,,,,
森林生物科学,456,0.5,,,,
水圏生物科学,456,0.833333333,,,,
動物生命システム科学,456,1,,,,
生物素材化学,456,0.833333333,,,,
緑地環境学,456,1,,,,
森林環境資源科学,456,1,,,,
木質構造科学,456,1,,,,
生物・環境工学,123,0,456,1.8,,
農業・資源経済学,123,1,456,1,,
フィールド科学,456,1,,,,
国際開発農学,456,1,,,,
獣医学課程獣医学,456,0.625,,,,
社会基盤学Ａ（設計・技術戦略）,4,1,,,,
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,4,1,,,,
社会基盤学Ｃ（国際プロジェクト）,4,1,,,,
建築学,4,1.153846154,,,,
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,4,1.25,,,,
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,4,1,,,,
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,4,1,,,,
機械工学B,4,1,,,,
航空宇宙学,4,1,,,,
精密工学,4,1,,,,
電子情報工学,4,1,,,,
電気電子工学,4,1,,,,
応用物理・物理工学,4,0.857142857,,,,
計数工学・数理/ｼｽﾃﾑ情報,4,1,,,,
マテリアル工学A,4,1.285714286,56,0,,
マテリアル工学B,4,0.764705882,,,,
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,4,0.9,,,,
応用化学,4,0.181818182,56,1,,
化学システム工学,4,0.4375,56,1,,
化学生命工学,4,0.375,56,1,,
システム創成A,4,1,56,1,,
システム創成B,4,1,,,,
システム創成C,4,1,56,1,,
数学,,,,,,
情報科学,,,,,,
物理学,,,,,,
天文学,,,,,,
地球惑星物理学,,,,,,
地球惑星環境学,456,1,,,,
化学,456,1,,,,
生物化学,456,1,,,,
生物情報科学,456,1,,,,
生物学,,,,,,
